Frame,Joint,X,Y,Z,OffsetX,OffsetY,OffsetZ,Pitch,Yaw,Roll
1,Left Eye Inner,0.5448797292494745,0.41781249124378667,0.0,0.0026289819531369885,-0.005119115036627542,0.0,62.816699474205116,90.0,-62.81669947420513
1,Left Eye,0.5468865584117627,0.41785692702334487,0.0,0.002006829162288226,4.44357795582051e-05,0.0,-1.2684521015533121,90.0,1.268452101553312
1,Left Eye Outer,0.548608417011794,0.4177301175784927,0.0,0.0017218586000312674,-0.0001268094448521606,0.0,4.212048906990696,90.0,-4.212048906990696
1,Right Eye Inner,0.5402450508918548,0.4172058648048103,0.0,-0.002005696404482671,-0.005725741475603896,0.0,70.69491713747615,-90.0,-109.30508286252385
1,Right Eye,0.5385662269524789,0.4169256936519536,0.0,-0.0016788239393759063,-0.000280171152856723,0.0,9.474513836238884,-90.0,-170.52548616376112
1,Right Eye Outer,0.5370534009064344,0.4167813009356844,0.0,-0.0015128260460445242,-0.0001443927162692038,0.0,5.452118830251738,-90.0,-174.54788116974825
1,Left Ear,0.5509666155866152,0.41871916748998206,0.0,0.002358198574821224,0.000989049911489348,0.0,-22.75361964067297,90.0,22.75361964067297
1,Right Ear,0.5346144387876456,0.41867711654574513,0.0,-0.002438962118788801,0.001895815610060747,0.0,-37.85807482899764,-90.0,142.14192517100236
1,Mouth Left,0.544863099593416,0.4291482517716466,0.0,0.0026123522970784574,0.006216645491232409,0.0,-67.20693084858081,90.0,67.20693084858081
1,Mouth Right,0.5400223089849525,0.4287967039186516,0.0,-0.0022284383113849726,0.005865097638237393,0.0,-69.19575960050753,-90.0,110.8042403994925
1,Left Shoulder,0.562408024985957,0.45815479258145003,0.0,0,0,0,0,0,0
1,Right Shoulder,0.5208054134892974,0.45281299457978896,0.0,0,0,0,0,0,0
1,Left Elbow,0.5688356111119354,0.4993162701192778,0.0,0.0064275861259783795,0.041161477537827784,0.0,-81.12463310500831,90.0,81.12463310500834
1,Right Elbow,0.5078868816117665,0.48639162886671383,0.0,-0.012918531877530892,0.03357863428692487,0.0,-68.9570302048749,-90.0,111.04296979512509
1,Left Wrist,0.5705469201532539,0.5391082715013725,0.0,0.0017113090413185539,0.03979200138209471,0.0,-87.53743467877118,90.0,87.53743467877115
1,Right Wrist,0.5147899925729595,0.4990985641049098,0.0,0.006903110961193004,0.012706935238195993,0.0,-61.48674051255853,90.0,61.48674051255853
1,Left Pinky,0.5725040982130146,0.549212391157276,0.0,0.0019571780597607003,0.01010411965590352,0.0,-79.03750937392078,90.0,79.03750937392077
1,Right Pinky,0.522065336274447,0.5029963797202229,0.0,0.007275343701487413,0.003897815615313105,0.0,-28.180487398464123,90.0,28.180487398464123
1,Left Index,0.5724010417477484,0.55035912487984,0.0,0.0018541215944944955,0.01125085337846743,0.0,-80.64186512066753,90.0,80.64186512066755
1,Right Index,0.5248319444345281,0.5014436189658695,0.0,0.010041951861568532,0.0023450548609597055,0.0,-13.144480103354374,90.0,13.144480103354374
1,Left Thumb,0.5699599334804641,0.5460455366883267,0.0,-0.0005869866727897799,0.006937265186954145,0.0,-85.16352061088246,-90.0,94.83647938911759
